,beneficiario,destino,exercicio,motivo,nEmpenho,periodo,situacaoEmpenho,unidadeOrcamentaria,valorTotalDiario
25,WILFRIDO TIRADENTES DA ROCHA NETO,BRASILIA-DF,2014,DIARIAS DA REGIAO II(  ACRECIMO DE UMA DIARIA DE DESLOCAMENTO ) PARA O SECRETARIO PARTICIPAR DO 10O FORUM BRASILEIRO DE CONTROLE DA ADMINISTRACAO PUBLICA                                                                                                      ,0236,03/11/2014 a 05/11/2014,Pago,16.101-SECRETARIA DA CONTROLADORIA E TRANSPARENCIA,"1.650,00"
26,ELIZIOMAR ARAUJO DE CARVALHO,MOMBACA-CE,2014,REALIZAR FISCALIZACOES E VERIFICACOES EM INSTRUMENTOS DE MEDICAO.                                                                                                                                                                                              ,0113,24/03/2014 a 04/04/2014,Pago,19.203-INSTITUTO DE PESOS E MEDIDAS DE FORTALEZA,"2.114,16"
27,FRANCISCO ADAHIL MOREIRA,TIANGUA-CE,2014,FISCALIZACOES E VERIFICACOES EM INSTRUMENTOS DE MEDICAO.                                                                                                                                                                                                       ,0118,24/03/2014 a 04/04/2014,Pago,19.203-INSTITUTO DE PESOS E MEDIDAS DE FORTALEZA,"2.114,16"
28,FRANCISCO ADAHIL MOREIRA,TIANGUA-CE,2014,FISCALIZACOES E VERIFICACOES EM INSTRUMENTOS DE MEDICAO.                                                                                                                                                                                                       ,0119,07/04/2014 a 14/04/2014,Pago,19.203-INSTITUTO DE PESOS E MEDIDAS DE FORTALEZA,"1.409,44"
29,VILTON MUDESTO ARRUDA,TIANGUA-CE,2014,FISCALIZACOES E VERIFICACOES EM INSTRUMENTOS DE MEDICAO.                                                                                                                                                                                                       ,0120,10/03/2014 a 21/03/2014,Pago,19.203-INSTITUTO DE PESOS E MEDIDAS DE FORTALEZA,"2.114,16"
30,VILTON MUDESTO ARRUDA,TIANGUA-CE,2014,FISCALIZACOES E VERIFICACOES EM INSTRUMENTOS DE MEDICAO.                                                                                                                                                                                                       ,0121,24/03/2014 a 04/04/2014,Pago,19.203-INSTITUTO DE PESOS E MEDIDAS DE FORTALEZA,"2.114,16"
31,VILTON MUDESTO ARRUDA,TIANGUA-CE,2014,FISCALIZACOES E VERIFICACOES EM INSTRUMENTOS DE MEDICAO.                                                                                                                                                                                                       ,0122,07/04/2014 a 14/04/2014,Pago,19.203-INSTITUTO DE PESOS E MEDIDAS DE FORTALEZA,"1.409,44"
32,LUIS ALBUQUERQUE SAMPAIO,MARACANAU-CE,2014,FISCALIZACOES EM CONOTACOGRAFOS                                                                                                                                                                                                                                ,0125,22/01/2014 a 23/01/2014,Pago,19.203-INSTITUTO DE PESOS E MEDIDAS DE FORTALEZA,"197,98"
33,JOSE WILLIAM MELO FILHO,AQUIRAZ-CE,2014,REALIZACAO DE VIAGEM AO INTERIOR DO ESTADO PARA REALIZACAO DE FISCALIZACAO EM PRODUTOS COM CONFORMIDADE AVALIADA.                                                                                                                                              ,0128,10/03/2014 a 14/03/2014,Pago,19.203-INSTITUTO DE PESOS E MEDIDAS DE FORTALEZA,"880,90"
34,JOSE WILLIAM MELO FILHO,AQUIRAZ-CE,2014,REALIZACAO DE VIAGEM AO INTERIOR DO ESTADO PARA REALIZACAO DE FISCALIZACAO EM PRODUTOS COM CONFORMIDADE AVALIADA.                                                                                                                                              ,0129,17/03/2014 a 18/03/2014,Pago,19.203-INSTITUTO DE PESOS E MEDIDAS DE FORTALEZA,"352,36"
35,JOSE WILLIAM MELO FILHO,EUSEBIO-CE,2014,REALIZACAO DE VIAGEM AO INTERIOR DO ESTADO PARA REALIZACAO DE FISCALIZACAO EM PRODUTOS COM CONFORMIDADE AVALIADA.                                                                                                                                              ,0130,20/03/2014 a 21/03/2014,Pago,19.203-INSTITUTO DE PESOS E MEDIDAS DE FORTALEZA,"352,36"
36,CLAUDIO RICARDO GOMES DE LIMA,BRASILIA-DF,2014,DIARIAS PARA PARTICIPAR DO SEMINARIO PERSPECTIVAS DE QUALIFICACAO  FRENTE AO NOVO MARCO REGULATORIO DAS ORGANIZACOES  DA SOCIEDADE CIVIL - MROSC                                                                                                               ,0612,03/11/2014 a 06/11/2014,Pago,"31.101-SECRETARIA MUNICIPAL DE TRABALHO, DESENVOLVIMENTO SOCIAL E COMBATE A FOME","2.200,00"
37,JOSE WILLIAM MELO FILHO,EUSEBIO-CE,2014,REALIZACAO DE VIAGEM AO INTERIOR DO ESTADO PARA REALIZACAO DE FISCALIZACAO EM PRODUTOS COM CONFORMIDADE AVALIADA.                                                                                                                                              ,0131,24/03/2014 a 24/03/2014,Pago,19.203-INSTITUTO DE PESOS E MEDIDAS DE FORTALEZA,"176,18"
38,EDSON DE OLIVEIRA,MARACANAU-CE,2014,REALIZACAO DE VIAGEM AO INTERIOR DO ESTADO PARA REALIZACAO DE FISCALIZACAO EM PRODUTOS COM CONFORMIDADE AVALIADA.                                                                                                                                              ,0133,10/03/2014 a 14/03/2014,Pago,19.203-INSTITUTO DE PESOS E MEDIDAS DE FORTALEZA,"880,90"
39,EDSON DE OLIVEIRA,MARACANAU-CE,2014,REALIZACAO DE VIAGEM AO INTERIOR DO ESTADO PARA REALIZACAO DE FISCALIZACAO EM PRODUTOS COM CONFORMIDADE AVALIADA.                                                                                                                                              ,0134,17/03/2014 a 18/03/2014,Pago,19.203-INSTITUTO DE PESOS E MEDIDAS DE FORTALEZA,"352,36"
40,EXPEDITO CARNEIRO DO NASCIMENTO,UBAJARA-CE,2014,FISCALIZACOES E VERIFICACOES EM INSTRUMENTOS DE MEDICAO                                                                                                                                                                                                        ,0135,10/03/2013 a 21/03/2013,Pago,19.203-INSTITUTO DE PESOS E MEDIDAS DE FORTALEZA,"2.114,16"
41,EDSON DE OLIVEIRA,MARACANAU-CE,2014,REALIZACAO DE VIAGEM AO INTERIOR DO ESTADO PARA REALIZACAO DE FISCALIZACAO EM PRODUTOS COM CONFORMIDADE AVALIADA.                                                                                                                                              ,0136,20/03/2014 a 21/03/2014,Pago,19.203-INSTITUTO DE PESOS E MEDIDAS DE FORTALEZA,"352,36"
42,EXPEDITO CARNEIRO DO NASCIMENTO,UBAJARA-CE,2014,FISCALIZACOES E VERIFICACOES EM INSTRUMENTOS DE MEDICAO                                                                                                                                                                                                        ,0137,24/03/2014 a 04/04/2014,Pago,19.203-INSTITUTO DE PESOS E MEDIDAS DE FORTALEZA,"2.114,16"
43,CICERO MOACIR MARCAL DE QUEIROZ,PEDRA BRANCA-PB,2014,REALIZAR FISCALIZACOES E VERIFICACOES EM INSTRUMENTOS DE MEDICAO.                                                                                                                                                                                              ,0114,07/04/2014 a 13/04/2014,Pago,19.203-INSTITUTO DE PESOS E MEDIDAS DE FORTALEZA,"1.233,26"
44,ELIZIOMAR ARAUJO DE CARVALHO,PEDRA BRANCA-PB,2014,REALIZAR FISCALIZACOES E VERIFICACOES EM INSTRUMENTOS DE MEDICAO.                                                                                                                                                                                              ,0115,07/04/2014 a 13/04/2014,Pago,19.203-INSTITUTO DE PESOS E MEDIDAS DE FORTALEZA,"1.233,26"
45,MARCELO BARBOSA PERCIVO CUNHA,ITAPAJE-CE,2014,FISCALIZACOES E VERIFICACOES EM INSTRUMENTOS DE MEDICAO.                                                                                                                                                                                                       ,0116,07/04/2014 a 15/04/2014,Pago,19.203-INSTITUTO DE PESOS E MEDIDAS DE FORTALEZA,"1.585,62"
46,FRANCISCO ADAHIL MOREIRA,TIANGUA-CE,2014,FISCALIZACOES E VERIFICACOES EM INSTRUMENTOS DE MEDICAO.                                                                                                                                                                                                       ,0117,10/03/2014 a 21/03/2014,Pago,19.203-INSTITUTO DE PESOS E MEDIDAS DE FORTALEZA,"2.114,16"
47,EVELYNE NUNES ERVEDOSA BASTOS,BRASILIA-DF,2014,POR OCASIAO DE SUA VIAGEM A BRASILIA PARA PARTICIPAR DO EVENTO DA GLOBAL ADDICTION 2014 RIO.                                                                                                                                                                   ,0534,10/11/2014 a 13/11/2014,Pago,11.101-GABINETE DO PREFEITO,"2.200,00"
48,FRANCISCO FERREIRA DA SILVA,QUIXADA-PB,2014,"SUPERVISAO EM INSTRUMENTOS DE MEDICAO, NO MUNICIPIODE QUIXADA-CE                                                                                                                                                                                               ",0440,19/05/2014 a 30/05/2014,Pago,19.203-INSTITUTO DE PESOS E MEDIDAS DE FORTALEZA,"2.114,16"
49,FRANCISCO FERREIRA DA SILVA,QUIXADA-PB,2014,"SUPERVISAO EM INSTRUMENTOS DE MEDICAO, NO MUNICIPIODE QUIXADA-CE                                                                                                                                                                                               ",0441,02/06/2014 a 15/06/2014,Pago,19.203-INSTITUTO DE PESOS E MEDIDAS DE FORTALEZA,"2.466,52"
50,JOSE DE RIBAMAR FONTENELE MORAES,BOA VIAGEM-CE,2014,"SUPERVISAO EM INSTRUMENTOS DE MEDICAO, NO MUNICIPIODE BOA VIAGEM-CE                                                                                                                                                                                            ",0442,05/05/2014 a 16/05/2014,Pago,19.203-INSTITUTO DE PESOS E MEDIDAS DE FORTALEZA,"2.114,16"
51,JOSE DE RIBAMAR FONTENELE MORAES,MADALENA-CE,2014,"REALIZAR SUPERVISAO EM INSTRUMENTOS DE MEDICAO, NOMUNICIPIO DE MADALENA                                                                                                                                                                                        ",0443,19/05/2014 a 30/05/2014,Pago,19.203-INSTITUTO DE PESOS E MEDIDAS DE FORTALEZA,"2.114,16"
52,JOSE DE RIBAMAR FONTENELE MORAES,ITATIRA-CE,2014,"REALIZAR SUPERVISAO EM INSTRUMENTOS DE MEDICAO, NOMUNICIPIO DE ITATIRA                                                                                                                                                                                         ",0444,02/06/2014 a 08/06/2014,Pago,19.203-INSTITUTO DE PESOS E MEDIDAS DE FORTALEZA,"1.233,26"
53,JOAO BATISTA BEZERRA MELO,BOA VIAGEM-CE,2014,"REALIZAR SUPERVISAO EM INSTRUMENTOS DE MEDICAO, NOMUNICIPIO DE BOA VIAGEM-CE                                                                                                                                                                                   ",0445,05/05/2014 a 16/05/2014,Pago,19.203-INSTITUTO DE PESOS E MEDIDAS DE FORTALEZA,"2.114,16"
54,JOAO BATISTA BEZERRA MELO,MADALENA-CE,2014,"REALIZAR SUPERVISAO EM INSTRUMENTOS DE MEDICAO, NOMUNICIPIO DE MADALEZA-CE                                                                                                                                                                                     ",0446,19/05/2014 a 30/05/2014,Pago,19.203-INSTITUTO DE PESOS E MEDIDAS DE FORTALEZA,"2.114,16"
55,RAIMUNDO SALES CARLOS,ARATUBA-CE,2014,SUPERVISAO EM INSTRUMENTOS DE MEDICAO                                                                                                                                                                                                                          ,0447,05/05/2014 a 16/05/2014,Pago,19.203-INSTITUTO DE PESOS E MEDIDAS DE FORTALEZA,"2.114,16"
56,JOAO BATISTA BEZERRA MELO,ITATIRA-CE,2014,"REALIZAR SUPERVISAO EM INSTRUMENTOS DE MEDICAO, NOMUNICIPIO DE ITATIRA-CE                                                                                                                                                                                      ",0448,02/06/2014 a 08/06/2014,Pago,19.203-INSTITUTO DE PESOS E MEDIDAS DE FORTALEZA,"1.233,26"
57,CICERO MOACIR MARCAL DE QUEIROZ,RUSSAS-CE,2014,"REALIZAR FISCALIZACOES E VERIFICACOES EM INSTRUMENTOS DE MEDICAO, NO MUNICIPIO DE RUSSAA CE.                                                                                                                                                                   ",0449,05/05/2014 a 16/05/2014,Pago,19.203-INSTITUTO DE PESOS E MEDIDAS DE FORTALEZA,"2.114,16"
58,FRANCISCA OZANIRA TORRES PINTO,BRASILIA-DF,2014,POR OCASIAO DE SUA VIAGEM A BRASILIA PARA PARTICIPAR DO I CONGRESSO INTERNACIONAL DE PREVENCAO DOS PROBLEMAS RELACIONADOS AO USO DE DROGAS.                                                                                                                    ,0535,26/11/2014 a 28/11/2014,Pago,11.101-GABINETE DO PREFEITO,"1.440,00"
59,RAIMUNDO SALES CARLOS,GUARAMIRANGA-CE,2014,SUPERVISAO EM INSTRUMENTOS DE MEDICAO                                                                                                                                                                                                                          ,0450,19/05/2014 a 30/05/2014,Pago,19.203-INSTITUTO DE PESOS E MEDIDAS DE FORTALEZA,"2.114,16"
60,LUIZ WAGNER BARBOSA DA SILVA,CAUCAIA-CE,2014,VERIFICACOES EM MEDIDORES DE VELOCIDADE.                                                                                                                                                                                                                       ,0032,13/02/2014 a 13/02/2014,Pago,19.203-INSTITUTO DE PESOS E MEDIDAS DE FORTALEZA,"176,18"
61,JOSE DE RIBAMAR FONTENELE MORAES,APUIARES-CE,2014,FISCALIZACAO E VERIFICACOES EM INSTRUMENTOS DE MEDICAO.                                                                                                                                                                                                        ,0033,03/02/2014 a 14/02/2014,Pago,19.203-INSTITUTO DE PESOS E MEDIDAS DE FORTALEZA,"2.114,16"
62,JOSE DE RIBAMAR FONTENELE MORAES,PENTECOSTE-CE,2014,FISCALIZACOES E VERIFICACOES EM INSTRUMENTOS DE MEDICAO.                                                                                                                                                                                                       ,0034,17/02/2014 a 28/02/2014,Pago,19.203-INSTITUTO DE PESOS E MEDIDAS DE FORTALEZA,"2.114,16"
63,JOSE DE RIBAMAR FONTENELE MORAES,URUBURETAMA-CE,2014,FISCALIZACOES E VERIFICACOES EM INSTRUMENTOS DE MEDICAO.                                                                                                                                                                                                       ,0035,06/03/2014 a 15/03/2014,Pago,19.203-INSTITUTO DE PESOS E MEDIDAS DE FORTALEZA,"1.761,80"
64,JOSE LOBO FILHO,SOBRAL-CE,2014,TREINAMENTO PARA CADASTRAMENTO E EMISSAO DOS REGISTRO DE EMISSAO (BOMBA E BALANCA).                                                                                                                                                                            ,0036,22/01/2014 a 24/01/2014,Pago,19.203-INSTITUTO DE PESOS E MEDIDAS DE FORTALEZA,"755,82"
65,KARLA ANTONYA RENE CARRILHO LOPES,SOBRAL-CE,2014,TREINAMENTO PARA CADASTRAMENTO E EMISSAO DOS REGISTRO DE EMISSAO (BOMBA E BALANCA).                                                                                                                                                                            ,0037,22/01/2014 a 24/01/2014,Pago,19.203-INSTITUTO DE PESOS E MEDIDAS DE FORTALEZA,"911,10"
66,ARTHUR KUBERNAT,SOBRAL-CE,2014,TREINAMENTO PARA CADASTRAMENTO E EMISSAO DOS REGISTRO DE EMISSAO (BOMBA E BALANCA).                                                                                                                                                                            ,0038,22/01/2014 a 24/01/2014,Pago,19.203-INSTITUTO DE PESOS E MEDIDAS DE FORTALEZA,"755,82"
67,ANTONIO ASSIS MORAES,SOBRAL-CE,2014,TREINAMENTO PARA CADASTRAMENTO E EMISSAO DOS REGISTRO DE EMISSAO (BOMBA E BALANCA).                                                                                                                                                                            ,0039,22/01/2014 a 24/01/2014,Pago,19.203-INSTITUTO DE PESOS E MEDIDAS DE FORTALEZA,"593,94"
68,CLEIDE GUEDES DE OLIVEIRA,EUSEBIO-CE,2014,FISCALIZACAO EM PRODUTOS.                                                                                                                                                                                                                                      ,0040,08/01/2014 a 08/01/2014,Pago,19.203-INSTITUTO DE PESOS E MEDIDAS DE FORTALEZA,"176,18"
69,MARIA DO PERPETUO SOCORRO MARTINS BRECKENFELD,SAO PAULO-SP,2014,"PARTICIPAR DA REUNIAO DO PROGRAMA CRESCA COM SEU FILHO, NA CIDADE DE SAO PAULO SP.                                                                                                                                                                             ",1311,10/11/2014 a 11/11/2014,Pago,25.901-FUNDO MUNICIPAL DE SAUDE - ADMINISTRACAO GERAL,"1.100,00"
70,CLEIDE GUEDES DE OLIVEIRA,JAGUARUANA-CE,2014,FISCALIZACAO EM PRODUTOS.                                                                                                                                                                                                                                      ,0041,28/01/2014 a 28/01/2014,Pago,19.203-INSTITUTO DE PESOS E MEDIDAS DE FORTALEZA,"176,18"
71,COSME RODRIGUES NETO,CANINDE-CE,2014,VERIFICACOES EM MEDIDORES DE VELOCIDADE.                                                                                                                                                                                                                       ,0042,07/01/2014 a 08/01/2014,Pago,19.203-INSTITUTO DE PESOS E MEDIDAS DE FORTALEZA,"352,36"
72,COSME RODRIGUES NETO,CAUCAIA-CE,2014,VERIFICACOES EM MEDIDORES DE VELOCIDADE.                                                                                                                                                                                                                       ,0043,17/01/2014 a 17/01/2014,Pago,19.203-INSTITUTO DE PESOS E MEDIDAS DE FORTALEZA,"176,18"
73,JOSE LOBO FILHO,RIO DE JANEIRO-RJ,2014,PARTICIPACAO DA REUNIAO DA COMISSAO TECNICA DE METROLOGIA LEGAL.                                                                                                                                                                                               ,0044,13/01/2014 a 14/01/2014,Pago,19.203-INSTITUTO DE PESOS E MEDIDAS DE FORTALEZA,"1.224,20"
74,JOSE LOBO FILHO,JUAZEIRO DO NORTE-CE,2014,TREINAMENTO DE CADASTRAMENTO E EMISSAO DOS REGISTROS DE EMISSAO (BOMBA E BALANCA) ATRAVES DO COLETOR DE DADOS.                                                                                                                                                 ,0045,28/01/2014 a 31/01/2014,Pago,19.203-INSTITUTO DE PESOS E MEDIDAS DE FORTALEZA,"1.250,72"
75,ARTHUR KUBERNAT,JUAZEIRO DO NORTE-CE,2014,CADASTRAMENTO E EMISSAO DOS REGISTROS DE EMISSAO (BOMBA E BALANCA) ATRAVES DO COLETOR DE DADOS.                                                                                                                                                                ,0046,26/01/2014 a 31/01/2014,Pago,19.203-INSTITUTO DE PESOS E MEDIDAS DE FORTALEZA,"1.754,64"
76,KARLA ANTONYA RENE CARRILHO LOPES,JUAZEIRO DO NORTE-CE,2014,CADASTRAMENTO E EMISSAO DOS REGISTROS DE EMISSAO (BOMBA E BALANCA) ATRAVES DO COLETOR DE DADOS.                                                                                                                                                                ,0047,26/01/2014 a 31/01/2014,Pago,19.203-INSTITUTO DE PESOS E MEDIDAS DE FORTALEZA,"2.065,20"
77,COSME RODRIGUES NETO,CAUCAIA-CE,2014,VERIFICACOES EM MEDIDORES DE VELOCIDADE                                                                                                                                                                                                                        ,0048,09/01/2014 a 09/01/2014,Pago,19.203-INSTITUTO DE PESOS E MEDIDAS DE FORTALEZA,"176,18"
78,ANTONIO LUIZ PEREIRA FRANCO,GUAIUBA-CE,2014,AFERICAO DE EQUIPAMENTOS DE MEDIDA DE VELOCIDADE.                                                                                                                                                                                                              ,0049,15/01/2014 a 18/01/2014,Pago,19.203-INSTITUTO DE PESOS E MEDIDAS DE FORTALEZA,"692,96"
79,FERNANDO ROSSAS FREIRE,JUAZEIRO DO NORTE-CE,2014,PARTICIPACAO DE REUNIAO COM OS SERVIDORES DA AGENCIA REGIONAL DO IPEM DE JUAZEIRO DO NORTE - CE.                                                                                                                                                               ,0050,30/01/2014 a 31/01/2014,Pago,19.203-INSTITUTO DE PESOS E MEDIDAS DE FORTALEZA,"1.002,22"
